CaseMasterID,CrimeNo,CaseCategoryName,CaseStatusName,PoliceStationUnitID,DistrictName,StateName,InvestigatingOfficerID,RegistrationDate,InfoReceivedPSDate,CrimeHeadName,CrimeSubHeadName,CrimeCategoryGroup,GravityOffenceName,BriefFacts,IncidentUnitID,IncidentDistrictName,latitude,longitude,LocationTypeArchetype,IsHotspotUnitFlag,AccusedHomeUnitDistance,IncidentFromDate,IncidentToDate,IncidentHourOfDay,IncidentDayOfWeek,IsFestivalOrEventWindow,ReportingDelayHours,CaseAgeDays,PrimaryAccusedID,PrimaryAccusedAgeBand,PrimaryAccusedGender,NumberOfAccused,CoAccusedIDList,IsRepeatAccusedFlag,ArrestStatus,ArrestDelayDays,PrimaryVictimAgeBand,PrimaryVictimGender,NumberOfVictims,VictimAccusedRelationship,IsRepeatVictimFlag,VictimPoliceFlag,NumberOfEvidenceItems,EvidenceTypesList,NumberOfVehiclesInvolved,ActsInvokedList,SectionsInvokedList,NumberOfSectionsInvoked,ChargesheetOutcome,ChargesheetFilingDelayDays,InvestigatingOfficerRank,CourtID,CourtName,InvestigationDurationDays,OfficerActiveCaseLoad,OfficerHistoricalFalseCaseRate,HiddenCriminalProfileID,HiddenGangID,HiddenClusterID,HiddenMOGroup,HiddenBridgeNodeFlag,HiddenEscalationCurveLabel,IsRepeatOffenderGroundTruth,RiskLabel,AnomalyLabel
1277,100030026202500001,FIR,Charge Sheeted,26,Belagavi,Karnataka,76,2025-06-28,2025-06-21 02:13:15,Crimes Against Body,Murder,Violent,Non-Heinous,The incident was reported from a general/public place at 20:00 hours on Friday. The accused poisoned the victim's drink during a social gathering in an attempt to settle an old business dispute secretly. Key evidence collected includes CCTV Footage and Medical Examination Report. A gang of 4 co-accused was implicated in this incident.,26,Belagavi,15.873472,74.532645,General/Public Place,True,Unknown/One-Time,2025-06-20 20:16:15,2025-06-21 02:00:15,20,Friday,False,5.95,382,4493.0,36-50,M,4,4493;4494;4495;4496,False,,,26-35,F,1,Known,False,False,2,CCTV Footage;Medical Examination Report,0,,,,Charge-Sheeted,,Circle Inspector,,,382,26,0.1538461538461538,,,SOLO_1277,1_General/Public Place_3,,,False,Medium,Normal
1278,100300188202300001,FIR,Pending Trial,188,Yadgir,Karnataka,562,2023-12-21,2023-12-19 04:48:21,Economic Offences,Counterfeiting,Cyber-Financial,Heinous,The crime was committed by a single offender. The accused was found in possession of a scanning machine and templates for printing fake bills. The event transpired at a market around 15:00 hours on Monday. Investigators recovered Bank Transaction Statement and Digital Ledger from the location.,188,Yadgir,16.734156,77.110938,Market,False,Unknown/One-Time,2023-12-18 15:34:21,2023-12-18 23:07:21,15,Monday,False,13.233333333333333,937,2538.0,36-50,M,1,2538,False,,,,,0,,False,False,2,Bank Transaction Statement;Digital Ledger,0,,,,Not Yet Disposed,,Inspector,,,937,8,0.0,,,SOLO_1278,37_Market_2,,,False,Medium,Normal
1279,100300189202500002,FIR,Closed - False Case,189,Yadgir,Karnataka,567,2025-10-27,2025-10-18 20:26:53,Economic Offences,Money Laundering,Cyber-Financial,Non-Heinous,"The accused used online gaming platforms and crypto transactions to wash illegal funds. Evidence seized during the initial probe includes Audit Report, Bank Transaction Statement, Digital Ledger, Forged Document and Seized Financial Record. The incident took place in a general/public place at 13:00 hours on Saturday.",189,Yadgir,16.760625,77.138814,General/Public Place,False,Unknown/One-Time,2025-10-18 13:19:53,2025-10-18 17:33:53,13,Saturday,False,7.116666666666666,261,4942.0,36-50,M,2,4942;4943,False,,,,,0,,False,False,5,Audit Report;Bank Transaction Statement;Digital Ledger;Forged Document;Seized Financial Record,0,,,,False Case,,Inspector,,,261,16,0.125,,,SOLO_1279,38_General/Public Place_2,,,False,Low,Normal
1280,100190124202500005,FIR,Closed - Undetected,124,Kolar,Karnataka,372,2025-10-31,2025-10-23 12:09:01,Crimes Against Property,House-Breaking / Burglary,Property,Heinous,Police later collected Tool Mark Analysis as part of the case file. The perpetrators gained entry by forcing open the rear kitchen window during the night while the owners were asleep. The offense occurred near a residential around 04:00 hours on Thursday. Investigation indicates the involvement of a single perpetrator.,124,Kolar,13.133471,78.09439,Residential,True,Unknown/One-Time,2025-10-23 04:19:01,2025-10-23 08:22:01,4,Thursday,False,7.833333333333333,257,4954.0,65+,M,1,4954,False,,,26-35,F,1,Stranger,False,False,1,Tool Mark Analysis,0,,,,Undetected,,Inspector,,,257,17,0.0,,,SOLO_1280,12_Residential_0,,,False,Medium,Normal
1281,800210131202300001,Zero FIR,Disposed - Convicted,131,Mandya,Karnataka,392,2023-04-11,2023-04-07 17:54:23,Narcotic Drugs and Psychotropic Substances Offences,Drug Trafficking,Narcotics,Heinous,The accused transported drugs across districts using local passenger buses to avoid checkpoints. The incident was reported from a highway at 08:00 hours on Thursday. A single individual executed the crime.,131,Mandya,12.534856,76.919725,Highway,False,inter-district,2023-04-06 08:18:23,2023-04-06 14:28:23,8,Thursday,False,33.6,1191,1581.0,26-35,M,1,1581,True,,,,,0,,False,False,1,Seizure Photograph,2,,,,Charge-Sheeted,,Inspector,,,1191,6,0.0,CP00071,GNG0002,GNG0002,47_Highway_1,,,True,Severe,Normal
1282,100210129202300005,FIR,Charge Sheeted,129,Mandya,Karnataka,387,2023-07-21,2023-07-21 03:01:44,Crimes Against Body,Attempt to Murder,Violent,Heinous,"The event transpired at a general/public place around 21:00 hours on Thursday. The accused physically assaulted the victim with wooden bats during a street fight, causing severe head injuries before escaping. Key evidence collected includes CCTV Footage. The crime was committed by a single offender.",129,Mandya,12.554483,76.898727,General/Public Place,False,Unknown/One-Time,2023-07-20 21:27:44,2023-07-21 02:37:44,21,Thursday,False,5.566666666666666,1090,1948.0,65+,M,1,1948,False,,,26-35,M,1,Known,False,False,1,CCTV Footage,0,,,,Charge-Sheeted,,Circle Inspector,,,1090,17,0.1176470588235294,,,SOLO_1282,2_General/Public Place_3,,,False,High,Normal
1283,100170115202600007,FIR,Pending Trial,115,Kalaburagi,Karnataka,343,2026-06-13,2026-06-11 01:48:50,Special and Local Laws Offences,Excise Act Violations,Narcotics,Non-Heinous,The police raided a house and recovered cases of smuggled alcohol meant for illegal distribution. The incident took place in a general/public place at 18:00 hours on Wednesday. Investigators recovered Panchnama Report and Seized Contraband from the location.,115,Kalaburagi,17.327267,76.824119,General/Public Place,True,Unknown/One-Time,2026-06-10 18:12:50,2026-06-10 21:56:50,18,Wednesday,False,7.6,32,,,,0,,False,,,,,0,,False,False,2,Panchnama Report;Seized Contraband,0,,,,Not Yet Disposed,,Sub-Inspector,,,32,16,0.125,,,SOLO_1283,67_General/Public Place_3,,,,Low,Normal
1284,100020013202500002,FIR,Charge Sheeted,13,Ballari,Karnataka,38,2025-12-08,2025-12-07 07:21:00,Crimes Against Women,Sexual Harassment,Violent,Heinous,"The accused sent inappropriate messages and photos to the victim's phone, causing distress. Evidence seized during the initial probe includes CCTV Footage and DNA Swab. The offense occurred near a general/public place around 13:00 hours on Saturday.",13,Ballari,15.145829,76.956872,General/Public Place,False,Unknown/One-Time,2025-12-06 13:39:00,2025-12-06 14:22:00,13,Saturday,False,17.7,219,,,,0,,False,,,26-35,F,1,Known,False,False,2,CCTV Footage;DNA Swab,0,,,,Charge-Sheeted,,Circle Inspector,,,219,4,0.0,,,SOLO_1284,18_General/Public Place_2,,,,High,Normal
1285,100130085202500007,FIR,Pending Trial,85,Dharwad,Karnataka,253,2025-05-25,2025-05-25 02:54:12,Human Trafficking,Trafficking for Sexual Exploitation,Violent,Non-Heinous,"Police later collected Call Detail Record, Rescue Report and Scene Photograph as part of the case file. The police raided the lodge and rescued victims who were forced into commercial sex by the suspects. The incident was reported from a border-transit at 09:00 hours on Thursday.",85,Dharwad,15.478873,75.059844,Border-Transit,True,Unknown/One-Time,2025-05-22 09:01:12,2025-05-22 15:06:12,9,Thursday,False,65.88333333333334,416,,,,0,,False,,,18-25,F,1,Known,False,False,3,Call Detail Record;Rescue Report;Scene Photograph,0,,,,Not Yet Disposed,,Sub-Inspector,,,416,27,0.037037037037037,,,SOLO_1285,71_Border-Transit_1,,,,Low,Reporting-Delay Outlier
1286,100240152202600001,FIR,Under Investigation,152,Ramanagara,Karnataka,454,2026-07-14,2026-07-12 20:45:26,Cyber Crime,Hacking,Cyber-Financial,Heinous,The accused installed keylogger software on cyber cafe computers to steal user credentials. The event transpired at a cyber-agnostic around 13:00 hours on Sunday. The crime was committed by a single offender. Forensic search and examination revealed Server Log at the scene.,152,Ramanagara,12.743253,77.276965,Cyber-Agnostic,False,Unknown/One-Time,2026-07-12 13:42:26,2026-07-12 15:48:26,13,Sunday,False,7.05,1,5982.0,26-35,M,1,5982,False,,,,,0,,False,False,1,Server Log,0,,,,Not Yet Disposed,,Sub-Inspector,,,1,7,0.0,,,SOLO_1286,42_Cyber-Agnostic_2,,,False,Medium,Normal
1287,100110077202200005,FIR,Charge Sheeted,77,Dakshina Kannada,Karnataka,230,2022-03-26,2022-03-23 01:19:10,Traffic and Motor Vehicle Offences,Rash and Negligent Driving,Public-Order,Heinous,"The incident took place in a transit-bus-stop at 10:00 hours on Tuesday. The suspect drove the truck negligently on the wrong side of the divider, ramming into multiple cars. A lone suspect was involved in carrying out this offense.",77,Dakshina Kannada,12.870535,74.863088,Transit-Bus-Stop,True,Unknown/One-Time,2022-03-22 10:42:10,2022-03-22 13:32:10,10,Tuesday,True,14.616666666666667,1572,291.0,51-65,M,1,291,False,,,51-65,F,1,Stranger,False,False,0,,1,,,,Charge-Sheeted,,Circle Inspector,,,1572,19,0.0,,,SOLO_1287,54_Transit-Bus-Stop_1,,,False,High,Normal
1288,100260166202300001,FIR,Charge Sheeted,166,Tumakuru,Karnataka,497,2023-12-21,2023-12-13 21:57:44,Special and Local Laws Offences,Gambling Act Violations,Narcotics,Non-Heinous,The offense was carried out by 2 suspects acting together. The accused was caught organizing illegal matka betting operations in a public place. The offense occurred near a general/public place around 18:00 hours on Wednesday.,166,Tumakuru,13.311671,77.078012,General/Public Place,False,Unknown/One-Time,2023-12-13 18:23:44,2023-12-13 20:17:44,18,Wednesday,False,3.566666666666667,937,2536.0,51-65,M,2,2536;2537,False,,,,,0,,False,False,2,Panchnama Report;Seizure Photograph,0,,,,Charge-Sheeted,,Assistant Sub-Inspector,,,937,5,0.0,,,SOLO_1288,68_General/Public Place_3,,,False,Medium,Normal
1289,100210130202400001,FIR,Pending Trial,130,Mandya,Karnataka,390,2024-07-01,2024-06-25 07:01:35,Special and Local Laws Offences,Gambling Act Violations,Narcotics,Non-Heinous,The accused was caught organizing illegal matka betting operations in a public place. Evidence seized during the initial probe includes Seized Contraband and Seizure Photograph. The incident was reported from a general/public place at 18:00 hours on Monday.,130,Mandya,12.555851,76.957102,General/Public Place,False,Unknown/One-Time,2024-06-24 18:13:35,2024-06-25 01:20:35,18,Monday,False,12.8,744,3256.0,18-25,M,1,3256,False,,,,,0,,False,False,2,Seized Contraband;Seizure Photograph,0,,,,Not Yet Disposed,,Sub-Inspector,,,744,4,0.0,,,SOLO_1289,68_General/Public Place_3,,,False,Low,Normal
1290,100090059202300001,FIR,Under Investigation,59,Chikkamagaluru,Karnataka,175,2023-09-06,2023-09-05 12:23:15,Crimes Against Property,Criminal Trespass,Property,Non-Heinous,"Police later collected CCTV Footage, Fingerprint Lift, Recovered Stolen Property and Scene Photograph as part of the case file. The suspects forcefully entered the complainant's house and refused to leave, claiming ownership. The event transpired at a general/public place around 08:00 hours on Tuesday. The crime was committed by a group of 3 co-offenders.",59,Chikkamagaluru,13.328565,75.731321,General/Public Place,False,Unknown/One-Time,2023-09-05 08:33:15,2023-09-05 10:19:15,8,Tuesday,True,3.8333333333333335,1043,2141.0,26-35,M,3,2141;2142;2143,False,,,36-50,F,1,Stranger,False,False,4,CCTV Footage;Fingerprint Lift;Recovered Stolen Property;Scene Photograph,0,,,,Not Yet Disposed,,Sub-Inspector,,,1043,5,0.0,,,SOLO_1290,13_General/Public Place_1,,,False,Low,Normal
1291,100280180202500002,FIR,Disposed - Convicted,180,Uttara Kannada,Karnataka,538,2025-12-15,2025-12-14 05:12:26,Crimes Against Body,Grievous Hurt,Violent,Non-Heinous,"A group of individuals cornered the victim and kicked them repeatedly, causing internal organ damage and severe trauma. The incident took place in a general/public place at 22:00 hours on Saturday. A lone suspect was involved in carrying out this offense. Forensic search and examination revealed Blood Sample, CCTV Footage, Fingerprint Lift, Post-Mortem Report and Weapon Recovery at the scene.",180,Uttara Kannada,14.766998,74.675401,General/Public Place,True,Unknown/One-Time,2025-12-13 22:00:26,2025-12-14 03:43:26,22,Saturday,False,7.2,212,5131.0,51-65,M,1,5131,False,,,26-35,F,1,Stranger,False,False,5,Blood Sample;CCTV Footage;Fingerprint Lift;Post-Mortem Report;Weapon Recovery,0,,,,Charge-Sheeted,,Inspector,,,212,24,0.0416666666666666,,,SOLO_1291,4_General/Public Place_3,,,False,Medium,Normal
1292,100010001202500004,FIR,Pending Trial,1,Bagalkot,Karnataka,3,2025-03-04,2025-03-04 03:00:33,Cyber Crime,Social Media Impersonation,Cyber-Financial,Non-Heinous,The offense occurred near a cyber-agnostic around 15:00 hours on Monday. The accused created a fake account of the victim and posted offensive material to ruin their reputation. Key evidence collected includes Screenshot Evidence and Server Log. Investigation indicates the involvement of a single perpetrator.,1,Bagalkot,16.228542,75.74181,Cyber-Agnostic,True,Unknown/One-Time,2025-03-03 15:34:33,2025-03-03 22:51:33,15,Monday,False,11.433333333333334,498,4084.0,36-50,M,1,4084,True,,,18-25,M,1,Stranger,False,False,2,Screenshot Evidence;Server Log,0,,,,Not Yet Disposed,,Assistant Sub-Inspector,,,498,11,0.0,,,SOLO_1292,45_Cyber-Agnostic_2,,,False,Low,Normal
1293,100060046202300003,FIR,Disposed - Convicted,46,Bidar,Karnataka,136,2023-05-20,2023-05-18 15:12:39,Human Trafficking,Trafficking for Sexual Exploitation,Violent,Heinous,A single individual executed the crime. The accused trafficked minor girls from rural areas and sold them to brothels in urban centres. The incident was reported from a border-transit at 14:00 hours on Wednesday. Investigators recovered Scene Photograph and Victim Statement Record from the location.,46,Bidar,17.89865,77.553717,Border-Transit,True,Unknown/One-Time,2023-05-17 14:37:39,2023-05-17 15:24:39,14,Wednesday,False,24.58333333333333,1152,1711.0,26-35,M,1,1711,False,,,18-25,F,1,Stranger,False,False,2,Scene Photograph;Victim Statement Record,0,,,,Charge-Sheeted,,Sub-Inspector,,,1152,21,0.0952380952380952,,,SOLO_1293,71_Border-Transit_2,,,False,High,Normal
1294,100300189202200001,FIR,Closed - False Case,189,Yadgir,Karnataka,567,2022-10-04,2022-10-01 01:02:35,Miscellaneous IPC Offences,Offences Against Public Servants,Property,Heinous,The accused tore official documents and threatened the public servant inside their office. Evidence seized during the initial probe includes Scene Photograph. The event transpired at a general/public place around 17:00 hours on Friday.,189,Yadgir,16.746887,77.102895,General/Public Place,False,Unknown/One-Time,2022-09-30 17:07:35,2022-09-30 17:47:35,17,Friday,True,7.916666666666667,1380,920.0,36-50,M,1,920,False,,,36-50,M,1,Stranger,False,False,1,Scene Photograph,0,,,,False Case,,Inspector,,,1380,16,0.125,,,SOLO_1294,65_General/Public Place_2,,,False,Medium,Normal
1295,100140092202300002,FIR,Disposed - Convicted,92,Gadag,Karnataka,276,2023-03-20,2023-03-12 00:38:55,Crimes Against Body,Assault,Violent,Heinous,"The accused physically obstructed and assaulted the complainant in the market area, creating public nuisance. The incident took place in a general/public place at 20:00 hours on Saturday.",92,Gadag,15.408543,75.625581,General/Public Place,True,Unknown/One-Time,2023-03-11 20:49:55,2023-03-11 23:48:55,20,Saturday,False,3.816666666666667,1213,,,,0,,False,,,51-65,F,1,Known,False,False,0,,0,,,,Charge-Sheeted,,Inspector,,,1213,19,0.2105263157894736,,,SOLO_1295,8_General/Public Place_3,,,,High,Normal
1296,100010002202400002,FIR,Charge Sheeted,2,Bagalkot,Karnataka,6,2024-10-27,2024-10-25 14:43:40,Human Trafficking,Trafficking for Sexual Exploitation,Violent,Non-Heinous,"The accused trafficked minor girls from rural areas and sold them to brothels in urban centres. The offense occurred near a border-transit around 12:00 hours on Friday. Investigation indicates the involvement of a single perpetrator. Forensic search and examination revealed Call Detail Record, Rescue Report, Scene Photograph and Travel Document at the scene.",2,Bagalkot,16.163723,75.743266,Border-Transit,False,Unknown/One-Time,2024-10-25 12:39:40,2024-10-25 13:26:40,12,Friday,True,2.066666666666667,626,3647.0,18-25,M,1,3647,False,,,Minor (<18),F,1,Stranger,False,False,4,Call Detail Record;Rescue Report;Scene Photograph;Travel Document,1,,,,Charge-Sheeted,,Sub-Inspector,,,626,17,0.0,,,SOLO_1296,71_Border-Transit_2,,,False,Medium,Normal
1297,100110076202500003,FIR,Disposed - Convicted,76,Dakshina Kannada,Karnataka,226,2025-04-30,2025-04-28 21:28:12,Crimes Against Children,Child Trafficking,Violent,Non-Heinous,The incident was reported from a border-transit at 09:00 hours on Sunday. The accused trafficked minor girls from rural areas by promising them jobs in the city. A single individual executed the crime.,76,Dakshina Kannada,12.919474,74.873227,Border-Transit,True,Unknown/One-Time,2025-04-27 09:15:12,2025-04-27 10:04:12,9,Sunday,False,36.21666666666667,441,4274.0,51-65,M,1,4274,False,,,Minor (<18),F,1,Known,False,False,0,,0,,,,Charge-Sheeted,,Assistant Sub-Inspector,,,441,19,0.0526315789473684,,,SOLO_1297,26_Border-Transit_1,,,False,Medium,Normal
1298,100100067202200001,FIR,Under Investigation,67,Chitradurga,Karnataka,200,2022-06-01,2022-06-01 20:08:28,Special and Local Laws Offences,Prohibition Act Violations,Narcotics,Non-Heinous,The crime was committed by a group of 2 co-offenders. The suspect was arrested for transporting chemically spiked toddy meant for local sales. The event transpired at a general/public place around 11:00 hours on Wednesday. Investigators recovered Panchnama Report from the location.,67,Chitradurga,14.253807,76.354527,General/Public Place,False,Unknown/One-Time,2022-06-01 11:32:28,2022-06-01 19:21:28,11,Wednesday,False,8.6,1505,520.0,51-65,M,2,520;521,False,,,,,0,,False,False,1,Panchnama Report,0,,,,Not Yet Disposed,,Sub-Inspector,,,1505,6,0.0,,,SOLO_1298,69_General/Public Place_1,,,False,Low,Normal
1299,100030019202500005,FIR,Disposed - Convicted,19,Belagavi,Karnataka,55,2025-07-11,2025-07-10 20:20:16,Cyber Crime,Hacking,Cyber-Financial,Heinous,"The suspect gained unauthorized access to the victim's social media and changed recovery credentials. Evidence seized during the initial probe includes Call Detail Record, Screenshot Evidence and Server Log. The incident took place in a cyber-agnostic at 11:00 hours on Thursday.",19,Belagavi,15.811396,74.475814,Cyber-Agnostic,True,local,2025-07-10 11:35:16,2025-07-10 12:39:16,11,Thursday,False,8.75,369,4542.0,26-35,M,1,4542,True,,,,,0,,False,False,3,Call Detail Record;Screenshot Evidence;Server Log,0,,,,Charge-Sheeted,,Inspector,,,369,25,0.2,CP00027,,CP00027,42_Cyber-Agnostic_1,,,True,Severe,Normal
1300,100110077202600002,FIR,Under Investigation,77,Dakshina Kannada,Karnataka,229,2026-12-26,2026-12-20 10:29:48,Crimes Against Children,Child Trafficking,Violent,Non-Heinous,"Police later collected CCTV Footage, DNA Swab and Guardian Statement Record as part of the case file. The suspects ran a racket procuring children from poor families and selling them to childless couples. The offense occurred near a border-transit around 15:00 hours on Saturday. Investigation indicates the involvement of a single perpetrator.",77,Dakshina Kannada,12.865231,74.873984,Border-Transit,True,Unknown/One-Time,2026-12-19 15:40:48,2026-12-19 19:46:48,15,Saturday,False,18.816666666666663,-164,6463.0,36-50,M,1,6463,False,,,Minor (<18),F,2,Known,False,False,3,CCTV Footage;DNA Swab;Guardian Statement Record,0,,,,Not Yet Disposed,,Sub-Inspector,,,-164,14,0.0714285714285714,,,SOLO_1300,26_Border-Transit_2,,,False,Low,Normal
1301,100310194202300003,FIR,Charge Sheeted,194,Vijayanagara,Karnataka,581,2023-07-02,2023-07-01 07:44:46,Economic Offences,Cheating and Financial Fraud,Cyber-Financial,Heinous,"The suspect defrauded the complainant by promising high returns in a fake gold investment scheme. The incident was reported from a market at 18:00 hours on Friday. A single individual executed the crime. Forensic search and examination revealed Audit Report, Bank Transaction Statement, Digital Ledger and Forged Document at the scene.",194,Vijayanagara,15.261692,76.390436,Market,False,Unknown/One-Time,2023-06-30 18:28:46,2023-07-01 01:23:46,18,Friday,False,13.266666666666667,1109,1878.0,36-50,M,1,1878,False,,,26-35,M,1,Stranger,False,False,4,Audit Report;Bank Transaction Statement;Digital Ledger;Forged Document,0,,,,Charge-Sheeted,,Sub-Inspector,,,1109,5,0.2,,,SOLO_1301,34_Market_3,,,False,High,Normal
1302,100150095202300003,FIR,Closed - Undetected,95,Hassan,Karnataka,285,2023-06-27,2023-06-26 16:43:36,Narcotic Drugs and Psychotropic Substances Offences,Cultivation of Narcotic Plants,Narcotics,Non-Heinous,The event transpired at a general/public place around 09:00 hours on Monday. The accused grew ganja plants in pots on their hidden terrace and sold the leaves locally. The crime was committed by a single offender.,95,Hassan,13.003946,76.12766,General/Public Place,True,Unknown/One-Time,2023-06-26 09:30:36,2023-06-26 13:37:36,9,Monday,False,7.216666666666667,1114,1853.0,65+,M,1,1853,False,,,,,0,,False,False,2,Chemical Analysis Report;Weighment Report,0,,,,Undetected,,Sub-Inspector,,,1114,15,0.0666666666666666,,,SOLO_1302,48_General/Public Place_1,,,False,Low,Normal
1303,100150101202400006,FIR,Closed - Undetected,101,Hassan,Karnataka,303,2024-04-11,2024-04-06 21:57:00,Special and Local Laws Offences,Prohibition Act Violations,Narcotics,Non-Heinous,"A group of 3 individuals was involved in the offense. The police raided a field and destroyed raw materials used by the accused to brew illicit alcohol. The incident took place in a general/public place at 12:00 hours on Saturday. Investigators recovered Panchnama Report, Seized Contraband and Seizure Photograph from the location.",101,Hassan,13.010169,76.10997,General/Public Place,True,inter-district,2024-04-06 12:37:00,2024-04-06 17:53:00,12,Saturday,False,9.333333333333334,825,2947.0,36-50,M,3,2947;2948;2949,False,,,,,0,,False,False,3,Panchnama Report;Seized Contraband;Seizure Photograph,0,,,,Undetected,,Sub-Inspector,,,825,12,0.0833333333333333,CP00077,,CP00077,69_General/Public Place_2,,,False,Low,Normal
1304,300220142202500002,UDR,Closed - Undetected,142,Mysuru,Karnataka,426,2025-05-07,2025-05-04 21:32:35,Miscellaneous IPC Offences,Criminal Intimidation,Property,Non-Heinous,"The accused made threatening phone calls to the victim, warning them of severe consequences. Evidence seized during the initial probe includes Scene Photograph and Seized Property List. The offense occurred near a general/public place around 16:00 hours on Sunday.",142,Mysuru,12.303764,76.665465,General/Public Place,True,Unknown/One-Time,2025-05-04 16:50:35,2025-05-04 20:58:35,16,Sunday,False,4.7,434,4291.0,26-35,M,1,4291,False,,,51-65,M,1,Known,True,False,2,Scene Photograph;Seized Property List,0,,,,Undetected,,Inspector,,,434,17,0.1176470588235294,,,SOLO_1304,63_General/Public Place_2,,,False,Low,Normal
1305,100020009202400002,FIR,Charge Sheeted,9,Ballari,Karnataka,26,2024-05-16,2024-05-13 03:18:48,Crimes Against Senior Citizens,Elder Abuse,Violent,Non-Heinous,"Police later collected Bank Statement, Medical Examination Report and Witness Statement Record as part of the case file. The accused beat their dependent mother and demanded she sign the bank pension documents. The incident was reported from a residential at 15:00 hours on Sunday. A gang of 3 co-accused was implicated in this incident.",9,Ballari,15.106151,76.942512,Residential,False,inter-district,2024-05-12 15:51:48,2024-05-12 23:48:48,15,Sunday,False,11.45,790,3068.0,18-25,M,3,3068;3069;3070,False,,,51-65,M,1,Known,False,False,3,Bank Statement;Medical Examination Report;Witness Statement Record,0,,,,Charge-Sheeted,,Sub-Inspector,,,790,9,0.1111111111111111,CP00021,GNG0006,GNG0006,59_Residential_2,,,False,Medium,Normal
1306,100170109202400002,FIR,Charge Sheeted,109,Kalaburagi,Karnataka,326,2024-12-21,2024-12-17 22:34:12,Cyber Crime,Identity Theft,Cyber-Financial,Non-Heinous,The accused used the complainant's PAN and Aadhaar details to secure multiple quick loans online. The event transpired at a market around 00:00 hours on Tuesday. The crime was committed by a single offender. Forensic search and examination revealed Screenshot Evidence at the scene.,109,Kalaburagi,17.286018,76.841338,Market,False,local,2024-12-17 00:14:12,2024-12-17 06:09:12,0,Tuesday,False,22.33333333333333,571,3825.0,36-50,F,1,3825,True,,,51-65,M,1,Stranger,False,False,1,Screenshot Evidence,0,,,,Charge-Sheeted,,Sub-Inspector,,,571,5,0.0,CP00108,,CP00108,41_Market_0,,,True,High,Normal
1307,100170111202500001,FIR,Under Investigation,111,Kalaburagi,Karnataka,333,2025-08-07,2025-08-01 21:32:20,Crimes Against Public Order,Unlawful Assembly,Public-Order,Heinous,"The incident took place in a general/public place at 13:00 hours on Friday. A group of individuals gathered with weapons near the temple, planning a confrontation. Key evidence collected includes CCTV Footage. A group of 5 individuals was involved in the offense.",111,Kalaburagi,17.337355,76.860426,General/Public Place,True,Unknown/One-Time,2025-08-01 13:25:20,2025-08-01 20:08:20,13,Friday,False,8.116666666666667,342,4632.0,65+,M,5,4632;4633;4634;4635;4636,False,,,36-50,M,2,Known,False,False,1,CCTV Footage,0,,,,Not Yet Disposed,,Sub-Inspector,,,342,17,0.0588235294117647,,,SOLO_1307,30_General/Public Place_2,,,False,Medium,Normal
1308,100250154202400001,FIR,Under Investigation,154,Shivamogga,Karnataka,460,2024-04-16,2024-04-16 04:00:40,Human Trafficking,Bonded Labour,Violent,Non-Heinous,Investigation indicates the involvement of a single perpetrator. The suspect forced the victim to work in his dairy farm for no pay under threat of violence. The offense occurred near a general/public place around 13:00 hours on Monday. Investigators recovered Rescue Report and Scene Photograph from the location.,154,Shivamogga,13.914101,75.604163,General/Public Place,False,Unknown/One-Time,2024-04-15 13:37:40,2024-04-15 20:07:40,13,Monday,False,14.383333333333333,820,2965.0,26-35,M,1,2965,False,,,Minor (<18),F,2,Stranger,False,False,2,Rescue Report;Scene Photograph,0,,,,Not Yet Disposed,,Sub-Inspector,,,820,3,0.0,,,SOLO_1308,72_General/Public Place_2,,,False,Low,Normal
1309,800250159202600001,Zero FIR,Under Investigation,159,Shivamogga,Karnataka,475,2026-12-12,2026-12-10 22:58:27,Economic Offences,Criminal Breach of Trust,Cyber-Financial,Non-Heinous,"The accused, entrusted with the complainant's luxury vehicle for rental services, sold it to a third party. The incident was reported from a general/public place at 13:00 hours on Thursday.",159,Shivamogga,13.942309,75.583501,General/Public Place,False,Unknown/One-Time,2026-12-10 13:55:27,2026-12-10 18:41:27,13,Thursday,False,9.05,-150,6415.0,36-50,M,1,6415,False,,,51-65,F,1,Known,False,False,3,Bank Transaction Statement;Digital Ledger;Forged Document,0,,,,Not Yet Disposed,,Assistant Sub-Inspector,,,-150,24,0.0416666666666666,,,SOLO_1309,35_General/Public Place_2,,,False,Low,Normal
1310,300050036202600001,UDR,Under Investigation,36,Bengaluru Urban,Karnataka,108,2026-08-23,2026-08-17 03:18:13,Crimes Against Children,Child Abuse,Violent,Heinous,Police later collected CCTV Footage and Medical Examination Report as part of the case file. The accused physically branded the minor child with heated objects over minor mistakes. The event transpired at a residential around 13:00 hours on Sunday. The crime was committed by a group of 4 co-offenders.,36,Bengaluru Urban,13.014891,77.546466,Residential,False,Unknown/One-Time,2026-08-16 13:59:13,2026-08-16 19:07:13,13,Sunday,False,13.316666666666666,-39,6050.0,18-25,M,4,6050;6051;6052;6053,False,,,Minor (<18),F,1,Known,False,False,2,CCTV Footage;Medical Examination Report,0,,,,Not Yet Disposed,,Inspector,,,-39,6,0.0,,,SOLO_1310,24_Residential_2,,,False,Medium,Normal
