CaseMasterID,CrimeNo,CaseNo,CrimeRegisteredDate,PolicePersonID,PoliceStationID,CaseCategoryID,GravityOffenceID,CrimeMajorHeadID,CrimeMinorHeadID,CaseStatusID,CourtID,IncidentFromDate,IncidentToDate,InfoReceivedPSDate,latitude,longitude,BriefFacts
258,100090058202600002,202600002,2026-06-22,2847,58,1,1,14,73,1,27,2026-06-15 13:43:31,2026-06-15 19:32:31,2026-06-16 04:14:31,13.298807,75.724894,"The crime was committed by a single offender. The suspects forged consent letters to perform illegal kidney transplantations for wealthy clients. The event transpired at a border-transit around 13:00 hours on Monday. Investigators recovered Call Detail Record, Rescue Report, Scene Photograph and Travel Document from the location."
259,100230146202300002,202300002,2023-11-14,2731,146,1,1,3,17,5,104,2023-11-11 19:46:31,2023-11-11 22:13:31,2023-11-14 09:29:31,16.259926,77.381639,The suspect forced himself upon the victim at her workplace and threatened her with termination if she spoke. The incident took place in a general/public place at 19:00 hours on Saturday.
260,100310192202200001,202200001,2022-06-08,1241,192,1,2,9,52,6,25,2022-06-06 18:47:03,2022-06-07 01:57:03,2022-06-07 02:50:03,15.273861,76.358056,"Police later collected Digital Communication Record, Seized Document and Surveillance Report as part of the case file. The accused was apprehended while trying to set up an explosive device near a crowded market. The offense occurred near a general/public place around 18:00 hours on Monday. Investigation indicates the involvement of a single perpetrator."
261,100240150202300001,202300001,2023-08-16,1844,150,1,2,11,61,1,81,2023-08-10 16:51:55,2023-08-10 21:32:55,2023-08-11 01:59:55,12.774751,77.275468,"The accused refused to provide food and basic medicine to their dependent parents, causing severe deterioration. The incident was reported from a residential at 16:00 hours on Thursday. Forensic search and examination revealed Bank Statement and CCTV Footage at the scene."
262,100260167202400002,202400002,2024-10-29,2076,167,1,1,8,49,5,15,2024-10-23 10:19:45,2024-10-23 13:43:45,2024-10-23 17:36:45,13.316055,77.069763,"The event transpired at a general/public place around 10:00 hours on Wednesday. The accused used domestic gas cylinders and chemicals to process crude raw materials into refined narcotics. Key evidence collected includes Chemical Analysis Report, Seized Narcotic Substance, Seizure Photograph and Weighment Report. The crime was committed by a single offender."
263,100120078202600001,202600001,2026-04-01,962,78,1,2,8,49,1,80,2026-03-30 17:23:22,2026-03-31 00:22:22,2026-03-31 01:28:22,14.493083,75.962957,"A lone suspect was involved in carrying out this offense. The suspects ran a manufacturing unit for synthetic drugs in an industrial estate under the cover of a paint factory. The incident took place in a general/public place at 17:00 hours on Monday. Investigators recovered Seized Narcotic Substance, Seizure Photograph and Weighment Report from the location."
264,100180117202200001,202200001,2022-07-02,2346,117,1,1,12,62,1,26,2022-06-23 15:57:26,2022-06-23 18:18:26,2022-06-23 18:43:26,12.459162,75.705955,The accused made false statements to the local media accusing the complainant of corruption. Evidence seized during the initial probe includes Witness Statement Record. The offense occurred near a general/public place around 15:00 hours on Thursday.
265,100250159202500002,202500002,2025-05-20,1218,159,1,2,2,12,6,103,2025-05-18 01:12:31,2025-05-18 06:42:31,2025-05-19 18:33:31,13.957651,75.576868,"Police later collected CCTV Footage, Fingerprint Lift, Recovered Stolen Property, Scene Photograph and Tool Mark Analysis as part of the case file. The perpetrators gained entry by forcing open the rear kitchen window during the night while the owners were asleep. The incident was reported from a residential at 01:00 hours on Sunday. A gang of 2 co-accused was implicated in this incident."
266,100250159202400001,202400001,2024-04-19,1698,159,1,2,10,54,6,103,2024-04-10 16:22:50,2024-04-10 17:06:50,2024-04-10 22:50:50,13.971811,75.581759,"The accused rode the motorcycle recklessly, performing stunts and crashing into a pedestrian. The event transpired at a transit-bus-stop around 16:00 hours on Wednesday. The crime was committed by a single offender."
267,100070050202600001,202600001,2026-08-17,246,50,1,2,9,53,1,134,2026-08-11 10:52:47,2026-08-11 14:56:47,2026-08-11 17:10:47,11.959768,76.921213,The incident took place in a general/public place at 10:00 hours on Tuesday. The accused was caught attempting to recruit local youths into an armed rebel group to overthrow the local administration. Key evidence collected includes Digital Communication Record.
268,100060041202500001,202500001,2025-11-17,787,41,1,2,8,47,2,8,2025-11-14 13:54:26,2025-11-14 16:15:26,2025-11-17 17:18:26,17.885352,77.522754,"The offense was carried out by 2 suspects acting together. The suspects ran a network distributing synthetic drugs to college students via local couriers. The offense occurred near a highway around 13:00 hours on Friday. Investigators recovered Chemical Analysis Report, Seized Narcotic Substance, Seizure Photograph and Weighment Report from the location."
269,100070048202400001,202400001,2024-08-02,82,48,1,2,14,72,2,15,2024-07-30 11:01:16,2024-07-30 17:50:16,2024-07-31 02:51:16,11.971852,76.913391,"The accused held the family in bonded labor, keeping them under constant watch and restricting movements. Evidence seized during the initial probe includes Rescue Report and Scene Photograph. The incident was reported from a general/public place at 11:00 hours on Tuesday."
270,100270169202600001,202600001,2026-05-12,3175,169,1,2,2,14,2,135,2026-05-06 18:53:46,2026-05-07 02:09:46,2026-05-07 03:33:46,13.384981,74.710916,Police later collected CCTV Footage and Tool Mark Analysis as part of the case file. The suspects vandalized the crops in the complainant's agricultural field using cattle. The event transpired at a general/public place around 18:00 hours on Wednesday. The crime was committed by a group of 4 co-offenders.
271,100070050202300001,202300001,2023-11-24,2186,50,1,2,2,12,3,96,2023-11-19 02:13:09,2023-11-19 03:12:09,2023-11-19 08:39:09,11.958333,76.907799,The perpetrators gained entry by forcing open the rear kitchen window during the night while the owners were asleep. The incident took place in a residential at 02:00 hours on Sunday. A lone suspect was involved in carrying out this offense.
272,100220137202300001,202300001,2023-04-26,982,137,1,2,2,14,5,65,2023-04-20 10:23:52,2023-04-20 13:05:52,2023-04-20 13:31:52,12.31693,76.697869,"The offense occurred near a general/public place around 10:00 hours on Thursday. The suspects damaged the glass windows of the complainant's house by throwing stones. Key evidence collected includes Fingerprint Lift, Recovered Stolen Property and Tool Mark Analysis. The offense was carried out by 3 suspects acting together."
273,300170109202400001,202400001,2024-03-15,657,109,2,2,5,31,6,113,2024-03-10 14:25:59,2024-03-10 22:19:59,2024-03-11 00:28:59,17.276216,76.842239,"A group of youths engaged in a physical fight on the street, causing residents to shut their doors. The incident was reported from a general/public place at 14:00 hours on Sunday."
274,100190124202200002,202200002,2022-10-16,2467,124,1,1,13,69,6,84,2022-10-09 15:21:45,2022-10-09 19:02:45,2022-10-10 07:27:45,13.130926,78.099507,"The police raided a field and destroyed raw materials used by the accused to brew illicit alcohol. Evidence seized during the initial probe includes Panchnama Report, Seized Contraband and Seizure Photograph. The event transpired at a general/public place around 15:00 hours on Sunday."
275,100130089202400001,202400001,2024-08-01,2809,89,1,1,1,1,6,106,2024-07-26 22:20:36,2024-07-26 23:07:36,2024-07-26 23:25:36,15.457269,75.015959,Police later collected Weapon Recovery as part of the case file. The accused poisoned the victim's drink during a social gathering in an attempt to settle an old business dispute secretly. The incident took place in a general/public place at 22:00 hours on Friday. A lone suspect was involved in carrying out this offense.
276,100250156202300002,202300002,2023-09-27,2288,156,1,2,6,37,6,59,2023-09-19 13:26:23,2023-09-19 15:04:23,2023-09-19 18:10:23,13.93518,75.574,"The accused was found in possession of a scanning machine and templates for printing fake bills. The offense occurred near a market around 13:00 hours on Tuesday. Investigation indicates the involvement of a single perpetrator. Forensic search and examination revealed Audit Report, Bank Transaction Statement, Digital Ledger and Seized Financial Record at the scene."
277,100280178202200001,202200001,2022-08-20,920,178,1,2,8,47,3,53,2022-08-15 12:23:10,2022-08-15 17:18:10,2022-08-16 02:39:10,14.798839,74.741467,The incident was reported from a highway at 12:00 hours on Monday. The suspects ran a network distributing synthetic drugs to college students via local couriers. Key evidence collected includes Chemical Analysis Report. A gang of 2 co-accused was implicated in this incident.
278,100050039202200003,202200003,2022-11-20,1018,39,1,2,14,72,2,95,2022-11-12 11:12:26,2022-11-12 12:49:26,2022-11-12 16:02:26,12.980107,77.539802,"The accused held the family in bonded labor, keeping them under constant watch and restricting movements. The event transpired at a general/public place around 11:00 hours on Saturday. Investigators recovered Scene Photograph, Travel Document and Victim Statement Record from the location."
279,100170115202600003,202600003,2026-12-13,1452,115,1,2,11,60,1,12,2026-12-11 21:45:27,2026-12-12 04:06:27,2026-12-12 20:50:27,17.284701,76.788683,The suspects promised to help the senior citizen withdraw their PF money and ran away with their credentials. Evidence seized during the initial probe includes CCTV Footage. The incident took place in a general/public place at 21:00 hours on Friday.
280,100010001202300001,202300001,2023-12-18,2045,1,1,2,9,53,2,72,2023-12-12 08:32:31,2023-12-12 11:30:31,2023-12-12 14:04:31,16.224788,75.745102,The accused was caught attempting to recruit local youths into an armed rebel group to overthrow the local administration. The offense occurred near a general/public place around 08:00 hours on Tuesday. The offense was carried out by 3 suspects acting together.
281,300230148202600001,202600001,2026-12-17,751,148,2,1,7,42,1,10,2026-12-13 13:20:47,2026-12-13 17:36:47,2026-12-14 04:38:47,16.216603,77.391432,"The accused installed keylogger software on cyber cafe computers to steal user credentials. The incident was reported from a cyber-agnostic at 13:00 hours on Sunday. A single individual executed the crime. Forensic search and examination revealed Bank Transaction Statement, Screenshot Evidence and Server Log at the scene."
282,100140093202600002,202600002,2026-06-15,2308,93,1,1,3,22,1,55,2026-06-11 13:07:54,2026-06-11 19:20:54,2026-06-11 20:24:54,15.418638,75.635882,The event transpired at a general/public place around 13:00 hours on Thursday. The accused constantly followed the victim in his vehicle and tried to block her path. Key evidence collected includes CCTV Footage and Clothing Sample. The crime was committed by a single offender.
283,100170115202500001,202500001,2025-09-29,2899,115,1,1,1,3,1,123,2025-09-23 21:43:07,2025-09-24 01:09:07,2025-09-24 01:53:07,17.316278,76.813853,"A lone suspect was involved in carrying out this offense. A physical fight broke out between neighbors, and the accused choked the victim during the struggle, resulting in asphyxiation. The incident took place in a general/public place at 21:00 hours on Tuesday. Investigators recovered Blood Sample, CCTV Footage and Weapon Recovery from the location."
284,100140090202200002,202200002,2022-09-15,1634,90,1,1,5,33,6,66,2022-09-13 13:03:51,2022-09-13 18:37:51,2022-09-13 20:57:51,15.432587,75.651007,"A group of individuals attacked shops belonging to a specific community, escalating local tension. Evidence seized during the initial probe includes Seized Weapon/Object and Video Recording. The offense occurred near a general/public place around 13:00 hours on Tuesday."
285,100050037202200002,202200002,2022-10-10,1506,37,1,2,13,69,6,132,2022-10-03 18:31:51,2022-10-03 22:17:51,2022-10-04 05:30:51,12.924507,77.553238,"Police later collected Panchnama Report, Seized Contraband and Seizure Photograph as part of the case file. The accused was caught running an illegal local bar in violation of the state prohibition laws. The incident was reported from a general/public place at 18:00 hours on Monday. A gang of 2 co-accused was implicated in this incident."
286,100060041202400001,202400001,2024-10-26,2652,41,1,2,8,49,5,135,2024-10-23 13:27:05,2024-10-23 13:52:05,2024-10-23 17:59:05,17.895848,77.531029,The suspects ran a manufacturing unit for synthetic drugs in an industrial estate under the cover of a paint factory. The event transpired at a general/public place around 13:00 hours on Wednesday. The crime was committed by a single offender.
287,100030018202300001,202300001,2023-12-22,2707,18,1,2,8,49,4,65,2023-12-21 12:18:36,2023-12-21 12:47:36,2023-12-21 17:17:36,15.869793,74.481789,The incident took place in a general/public place at 12:00 hours on Thursday. The suspects ran a manufacturing unit for synthetic drugs in an industrial estate under the cover of a paint factory. A group of 2 individuals was involved in the offense.
288,100100070202500001,202500001,2025-06-26,1399,70,1,1,10,54,3,48,2025-06-23 10:26:56,2025-06-23 16:31:56,2025-06-23 18:57:56,14.229477,76.439214,"The offense was carried out by 2 suspects acting together. The suspect drove the truck negligently on the wrong side of the divider, ramming into multiple cars. The offense occurred near a transit-bus-stop around 10:00 hours on Monday. Investigators recovered Mechanical Inspection Report from the location."
289,100060043202400001,202400001,2024-01-04,2527,43,1,1,2,13,5,93,2023-12-29 08:29:44,2023-12-29 12:01:44,2023-12-29 23:55:44,17.919767,77.502458,"The suspects forcefully entered the complainant's house and refused to leave, claiming ownership. Evidence seized during the initial probe includes CCTV Footage. The incident was reported from a general/public place at 08:00 hours on Friday."
290,100220136202200001,202200001,2022-03-27,1899,136,1,1,12,65,6,38,2022-03-26 08:13:30,2022-03-26 13:50:30,2022-03-26 15:16:30,12.29792,76.657764,Police later collected Scene Photograph as part of the case file. The suspect obstructed the government official from executing a demolition order and pelted stones. The event transpired at a general/public place around 08:00 hours on Saturday. The crime was committed by a single offender.
291,100140093202500001,202500001,2025-12-16,3020,93,1,1,1,2,5,75,2025-12-12 19:12:18,2025-12-13 00:08:18,2025-12-13 00:48:18,15.422091,75.635727,"The accused physically assaulted the victim with wooden bats during a street fight, causing severe head injuries before escaping. The incident took place in a general/public place at 19:00 hours on Friday. Forensic search and examination revealed CCTV Footage at the scene."
292,100010008202600002,202600002,2026-11-28,2027,8,1,2,7,43,1,89,2026-11-27 15:33:01,2026-11-27 19:14:01,2026-11-28 11:09:01,16.228075,75.6633,The offense occurred near a cyber-agnostic around 15:00 hours on Friday. The accused created multiple social media handles to harass the victim and post offensive comments. Key evidence collected includes Call Detail Record and Server Log. The offense was carried out by 2 suspects acting together.
293,100130088202400001,202400001,2024-06-17,2758,88,1,2,7,40,2,93,2024-06-09 07:54:53,2024-06-09 14:05:53,2024-06-10 09:29:53,15.486071,74.993058,"A single individual executed the crime. The suspect sent a malicious phishing link via email, compromising the victim's mobile banking credentials and transferring funds. The incident was reported from a cyber-agnostic at 07:00 hours on Sunday. Investigators recovered Device Forensic Report and IP Access Log from the location."
294,100250157202500001,202500001,2025-09-05,1470,157,1,1,13,67,2,67,2025-09-02 10:31:06,2025-09-02 17:22:06,2025-09-02 20:39:06,13.892804,75.53452,The accused was found selling illicit liquor manufactured in a local forest area. The event transpired at a general/public place around 10:00 hours on Tuesday.
295,100110071202200001,202200001,2022-01-14,2476,71,1,2,3,18,4,27,2022-01-10 09:14:31,2022-01-10 11:31:31,2022-01-12 23:39:31,12.916789,74.911839,"Police later collected CCTV Footage, Call Detail Record, Clothing Sample, DNA Swab and Medical Examination Report as part of the case file. The suspect repeatedly followed the victim to her college and made offensive gestures. The incident took place in a general/public place at 09:00 hours on Monday."
296,400220139202600001,202600001,2026-10-20,2042,139,3,2,8,49,1,26,2026-10-15 09:10:40,2026-10-15 10:15:40,2026-10-15 22:17:40,12.2835,76.642723,The accused used domestic gas cylinders and chemicals to process crude raw materials into refined narcotics. The offense occurred near a general/public place around 09:00 hours on Thursday. Investigation indicates the involvement of a single perpetrator. Forensic search and examination revealed Seized Narcotic Substance and Weighment Report at the scene.
297,100050032202300002,202300002,2023-12-25,621,32,1,1,6,36,3,136,2023-12-23 08:30:21,2023-12-23 11:01:21,2023-12-24 00:30:21,12.967498,77.628572,"The incident was reported from a general/public place at 08:00 hours on Saturday. The suspect created fake degree certificates and mark sheets to secure a government job. Key evidence collected includes Audit Report, Bank Transaction Statement, Forged Document and Seized Financial Record. A single individual executed the crime."
298,100120083202400001,202400001,2024-06-28,3164,83,1,2,4,25,6,43,2024-06-23 16:28:09,2024-06-23 23:07:09,2024-06-24 01:13:09,14.490689,75.930167,"The crime was committed by a group of 2 co-offenders. The accused showed offensive material to the minor victim and committed sexual offenses. The event transpired at a general/public place around 16:00 hours on Sunday. Investigators recovered CCTV Footage, DNA Swab, Guardian Statement Record and Medical Examination Report from the location."
299,100130085202600001,202600001,2026-01-21,2162,85,1,2,7,40,2,38,2026-01-14 22:56:43,2026-01-15 04:59:43,2026-01-15 20:04:43,15.471994,75.033375,The suspect posed as a buyer on a classifieds site and sent a fraudulent UPI QR code to request money instead of sending it. Evidence seized during the initial probe includes Call Detail Record and Server Log. The incident took place in a cyber-agnostic at 22:00 hours on Wednesday.
300,100220137202400001,202400001,2024-06-12,876,137,1,2,8,47,6,24,2024-06-08 18:56:19,2024-06-08 19:44:19,2024-06-09 00:18:19,12.313525,76.692909,Police later collected Seized Narcotic Substance and Weighment Report as part of the case file. The suspects were intercepted at the toll plaza with a large consignment of contraband hidden in a truck. The offense occurred near a highway around 18:00 hours on Saturday. The offense was carried out by 3 suspects acting together.
301,100150101202200002,202200002,2022-12-18,508,101,1,2,5,33,6,13,2022-12-13 17:49:19,2022-12-14 00:05:19,2022-12-14 03:25:19,13.000531,76.119892,"A group of individuals attacked shops belonging to a specific community, escalating local tension. The incident was reported from a general/public place at 17:00 hours on Tuesday."
302,100240149202400001,202400001,2024-12-26,1343,149,1,2,2,16,2,133,2024-12-25 21:18:42,2024-12-26 04:04:42,2024-12-26 13:29:42,12.683535,77.315915,"The event transpired at a market around 21:00 hours on Wednesday. The suspects intercepted the complainant's truck and forced them to pay cash to pass through the route. Key evidence collected includes CCTV Footage, Fingerprint Lift and Recovered Stolen Property. The crime was committed by a group of 2 co-offenders."
303,100170115202400002,202400002,2024-05-03,1081,115,1,1,14,72,3,128,2024-04-28 08:30:13,2024-04-28 12:23:13,2024-04-28 13:20:13,17.305416,76.797028,"A group of 4 individuals was involved in the offense. The accused held the family in bonded labor, keeping them under constant watch and restricting movements. The incident took place in a general/public place at 08:00 hours on Sunday. Investigators recovered Call Detail Record, Scene Photograph, Travel Document and Victim Statement Record from the location."
304,100200125202200001,202200001,2022-07-16,487,125,1,2,8,49,3,105,2022-07-10 15:32:55,2022-07-10 20:07:55,2022-07-10 21:22:55,15.355026,76.109133,The suspects ran a manufacturing unit for synthetic drugs in an industrial estate under the cover of a paint factory. Evidence seized during the initial probe includes Chemical Analysis Report and Weighment Report. The offense occurred near a general/public place around 15:00 hours on Sunday.
305,100030023202200001,202200001,2022-04-12,3030,23,1,2,6,38,6,126,2022-04-07 12:50:09,2022-04-07 14:07:09,2022-04-07 22:31:09,15.850886,74.486669,Police later collected Seized Financial Record as part of the case file. The accused used online gaming platforms and crypto transactions to wash illegal funds. The incident was reported from a general/public place at 12:00 hours on Thursday. A single individual executed the crime.
306,100010001202400001,202400001,2024-04-15,2982,1,1,1,9,52,5,84,2024-04-11 13:46:53,2024-04-11 19:01:53,2024-04-11 20:22:53,16.219993,75.680992,"The suspects received funds from foreign entities to coordinate subversive activities in the city. The event transpired at a general/public place around 13:00 hours on Thursday. The crime was committed by a single offender. Forensic search and examination revealed Digital Communication Record, Seized Document and Surveillance Report at the scene."
307,100030019202300001,202300001,2023-07-31,789,19,1,1,10,58,2,139,2023-07-22 18:41:05,2023-07-23 02:09:05,2023-07-23 07:35:05,15.826284,74.510018,"The incident took place in a transit-bus-stop at 18:00 hours on Saturday. The driver was caught driving an overloaded passenger vehicle with people hanging on the footboards. Key evidence collected includes Breath Analyzer Report, CCTV Footage, Mechanical Inspection Report and Vehicle Damage Report. A lone suspect was involved in carrying out this offense."
308,100170114202200001,202200001,2022-08-18,185,114,1,2,1,4,3,126,2022-08-16 20:13:15,2022-08-17 03:22:15,2022-08-17 05:01:15,17.309362,76.842034,"A group of individuals cornered the victim and kicked them repeatedly, causing internal organ damage and severe trauma. The offense occurred near a general/public place around 20:00 hours on Tuesday."
309,100270169202600002,202600002,2026-04-09,242,169,1,2,1,6,1,84,2026-04-05 09:34:10,2026-04-05 12:05:10,2026-04-05 12:26:10,13.377366,74.79027,The suspects forcefully abducted the complainant's child from outside their school and sent a ransom note. Evidence seized during the initial probe includes Blood Sample and Post-Mortem Report. The incident was reported from a general/public place at 09:00 hours on Sunday.
310,100050038202200001,202200001,2022-11-09,1304,38,1,1,12,62,6,119,2022-11-07 14:15:48,2022-11-07 19:25:48,2022-11-08 00:18:48,12.944762,77.61876,Police later collected Seized Property List as part of the case file. The accused made false statements to the local media accusing the complainant of corruption. The event transpired at a general/public place around 14:00 hours on Monday. The crime was committed by a single offender.
311,100170109202600001,202600001,2026-01-18,2214,109,1,2,2,16,1,44,2026-01-13 21:35:41,2026-01-14 04:22:41,2026-01-14 05:40:41,17.285925,76.827898,"The suspects intercepted the complainant's truck and forced them to pay cash to pass through the route. The incident took place in a market at 21:00 hours on Tuesday. A lone suspect was involved in carrying out this offense. Forensic search and examination revealed CCTV Footage, Fingerprint Lift, Recovered Stolen Property, Scene Photograph and Tool Mark Analysis at the scene."
312,400250153202200002,202200002,2022-10-31,2091,153,3,2,9,53,3,73,2022-10-28 17:10:00,2022-10-28 17:45:00,2022-10-28 22:46:00,13.923426,75.593323,The offense occurred near a general/public place around 17:00 hours on Friday. The suspects held training sessions in arms and explosives to wage war against the state. Key evidence collected includes Seized Document. Investigation indicates the involvement of a single perpetrator.
313,100020011202200002,202200002,2022-02-18,1318,11,1,2,12,62,5,88,2022-02-15 12:32:51,2022-02-15 15:19:51,2022-02-16 04:13:51,15.173939,76.948333,"A gang of 3 co-accused was implicated in this incident. The accused made false statements to the local media accusing the complainant of corruption. The incident was reported from a general/public place at 12:00 hours on Tuesday. Investigators recovered Scene Photograph, Seized Property List and Witness Statement Record from the location."
314,100060043202500001,202500001,2025-01-16,318,43,1,2,10,56,3,138,2025-01-10 08:26:35,2025-01-10 16:09:35,2025-01-10 22:36:35,17.866101,77.550094,"The suspect drove the vehicle in a zig-zag manner under the influence of alcohol, endangering public safety. Evidence seized during the initial probe includes Vehicle Damage Report. The event transpired at a transit-bus-stop around 08:00 hours on Friday."
315,100010006202600001,202600001,2026-10-12,1152,6,1,2,14,73,1,92,2026-10-10 14:51:44,2026-10-10 15:00:44,2026-10-11 00:44:44,16.215744,75.697114,The suspects forged consent letters to perform illegal kidney transplantations for wealthy clients. The incident took place in a border-transit at 14:00 hours on Saturday. A lone suspect was involved in carrying out this offense.
316,100050039202600001,202600001,2026-12-02,2024,39,1,1,14,72,1,44,2026-11-29 12:45:38,2026-11-29 14:37:38,2026-11-29 14:50:38,12.988566,77.640105,The suspect forced the victim to work in his dairy farm for no pay under threat of violence. The offense occurred near a general/public place around 12:00 hours on Sunday. Investigation indicates the involvement of a single perpetrator. Forensic search and examination revealed Travel Document at the scene.
317,100160108202400001,202400001,2024-01-05,2183,108,1,2,11,61,2,65,2024-01-02 09:36:54,2024-01-02 11:37:54,2024-01-03 00:19:54,14.776304,75.361978,"The incident was reported from a residential at 09:00 hours on Tuesday. The suspects left their sick elderly father alone in a house without food, water, or medical attention. A gang of 4 co-accused was implicated in this incident."
318,300210135202600001,202600001,2026-01-31,1139,135,2,2,8,46,1,108,2026-01-24 13:26:17,2026-01-24 14:33:17,2026-01-24 20:44:17,12.511532,76.913761,"The crime was committed by a single offender. The accused was found carrying MDMA pills hidden inside a modified thermos flask. The event transpired at a general/public place around 13:00 hours on Saturday. Investigators recovered Chemical Analysis Report, Seized Narcotic Substance, Seizure Photograph and Weighment Report from the location."
319,100160104202600001,202600001,2026-10-24,99,104,1,1,6,34,1,86,2026-10-18 07:58:15,2026-10-18 09:43:15,2026-10-18 14:56:15,14.770628,75.356047,"The suspect collected money from multiple buyers for a plot of land that did not belong to him. Evidence seized during the initial probe includes Bank Transaction Statement, Digital Ledger and Forged Document. The incident took place in a market at 07:00 hours on Sunday."
320,100260165202600001,202600001,2026-10-17,2841,165,1,2,4,24,1,17,2026-10-17 11:39:28,2026-10-17 18:15:28,2026-10-17 19:20:28,13.326062,77.145951,Police later collected Guardian Statement Record as part of the case file. The suspect forced the minor child to perform heavy domestic chores and denied them food. The offense occurred near a residential around 11:00 hours on Saturday. Investigation indicates the involvement of a single perpetrator.
321,100250153202400001,202400001,2024-02-02,1902,153,1,2,1,8,6,110,2024-01-31 23:24:25,2024-02-01 00:18:25,2024-02-01 01:37:25,13.883872,75.572725,"The accused physically obstructed and assaulted the complainant in the market area, creating public nuisance. The incident was reported from a general/public place at 23:00 hours on Wednesday. A gang of 2 co-accused was implicated in this incident. Forensic search and examination revealed Fingerprint Lift at the scene."
322,100280174202500001,202500001,2025-06-11,1725,174,1,2,10,54,2,124,2025-06-09 17:00:38,2025-06-09 23:10:38,2025-06-10 00:02:38,14.795754,74.733935,"The event transpired at a transit-bus-stop around 17:00 hours on Monday. The accused rode the motorcycle recklessly, performing stunts and crashing into a pedestrian. The crime was committed by a single offender."
323,100220143202200001,202200001,2022-04-14,2403,143,1,2,8,47,5,38,2022-04-06 16:56:34,2022-04-06 23:38:34,2022-04-07 10:26:34,12.263174,76.634335,"The suspects ran a network distributing synthetic drugs to college students via local couriers. The incident took place in a highway at 16:00 hours on Wednesday. Investigators recovered Chemical Analysis Report, Seized Narcotic Substance, Seizure Photograph and Weighment Report from the location."
324,100020013202200001,202200001,2022-11-26,1861,13,1,1,9,50,6,11,2022-11-22 09:30:44,2022-11-22 15:29:44,2022-11-22 18:08:44,15.150904,76.947413,"The suspects printed pamphlets urging citizens to launch armed resistance against government authority. Evidence seized during the initial probe includes Digital Communication Record, Seized Document and Surveillance Report. The offense occurred near a general/public place around 09:00 hours on Tuesday."
325,100150097202300003,202300003,2023-06-25,584,97,1,2,1,4,3,75,2023-06-17 01:24:13,2023-06-17 04:53:13,2023-06-17 05:18:13,12.994484,76.104186,"Police later collected Fingerprint Lift as part of the case file. The accused beat the victim with iron pipes over a financial dispute, causing multiple bone fractures in the limbs. The incident was reported from a general/public place at 01:00 hours on Saturday. A single individual executed the crime."
326,300130087202600001,202600001,2026-03-10,1553,87,2,2,11,61,1,29,2026-03-08 10:46:11,2026-03-08 13:44:11,2026-03-08 15:30:11,15.440085,75.035051,"The suspects left their sick elderly father alone in a house without food, water, or medical attention. The event transpired at a residential around 10:00 hours on Sunday. Forensic search and examination revealed CCTV Footage and Witness Statement Record at the scene."
327,100100067202300001,202300001,2023-03-17,1002,67,1,2,4,26,5,12,2023-03-12 17:04:07,2023-03-12 18:22:07,2023-03-13 07:20:07,14.247597,76.360094,"The incident took place in a border-transit at 17:00 hours on Sunday. The suspects ran a racket procuring children from poor families and selling them to childless couples. Key evidence collected includes DNA Swab, Guardian Statement Record and Medical Examination Report. A lone suspect was involved in carrying out this offense."
328,100240151202200001,202200001,2022-03-21,1590,151,1,1,10,55,3,131,2022-03-19 12:37:56,2022-03-19 16:52:56,2022-03-19 18:43:56,12.752947,77.298005,"Investigation indicates the involvement of a single perpetrator. An unidentified truck hit a cyclist from behind and sped away, leaving the cyclist severely injured. The offense occurred near a transit-bus-stop around 12:00 hours on Saturday. Investigators recovered Breath Analyzer Report, CCTV Footage and Vehicle Damage Report from the location."
329,100110076202400002,202400002,2024-06-16,896,76,1,2,9,53,2,79,2024-06-14 15:40:58,2024-06-14 22:29:58,2024-06-15 03:20:58,12.819631,74.859864,The suspects held training sessions in arms and explosives to wage war against the state. The incident was reported from a general/public place at 15:00 hours on Friday.
330,100130084202300002,202300002,2023-02-25,2038,84,1,2,7,44,2,82,2023-02-23 02:22:14,2023-02-23 07:25:14,2023-02-23 08:03:14,15.479298,75.034869,"Police later collected IP Access Log, Screenshot Evidence and Server Log as part of the case file. The victim clicked on a link in an email pretending to be from their bank and entered their login details. The event transpired at a cyber-agnostic around 02:00 hours on Thursday. The crime was committed by a single offender."
331,100080055202200001,202200001,2022-11-10,1240,55,1,1,1,3,4,71,2022-11-05 01:59:14,2022-11-05 02:54:14,2022-11-05 03:12:14,13.452576,77.720224,"The accused hit the victim with a heavy stone during a spontaneous street brawl, leading to fatal trauma. The incident took place in a general/public place at 01:00 hours on Saturday. A lone suspect was involved in carrying out this offense. Forensic search and examination revealed CCTV Footage at the scene."
332,800050039202500001,202500001,2025-11-01,612,39,4,2,10,55,1,102,2025-10-25 12:50:25,2025-10-25 16:22:25,2025-10-26 02:02:25,13.001963,77.575161,"The offense occurred near a transit-bus-stop around 12:00 hours on Saturday. An unidentified truck hit a cyclist from behind and sped away, leaving the cyclist severely injured. Key evidence collected includes Vehicle Damage Report. The offense was carried out by 3 suspects acting together."
333,100060046202500002,202500002,2025-10-24,1535,46,1,2,12,63,2,36,2025-10-18 15:20:54,2025-10-18 17:01:54,2025-10-18 20:24:54,17.956219,77.475158,"A gang of 2 co-accused was implicated in this incident. The accused made threatening phone calls to the victim, warning them of severe consequences. The incident was reported from a general/public place at 15:00 hours on Saturday. Investigators recovered Scene Photograph and Witness Statement Record from the location."
